"header-arecord;address*;_new_address;fqdn*;_new_fqdn;comment;create_ptr;creator;ddns_principal;ddns_protected;disabled;ttl;view"
"arecord;172.16.254.10;;*.gs2.ww.prod.dl.playstation.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.gs2.sonycoment.loris-e.llnwd.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;gs2-ww-prod.psn.akadns.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.gs2-ww-prod.psn.akadns.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;gs2.ww.prod.dl.playstation.net.edgesuite.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.gs2.ww.prod.dl.playstation.net.edgesuite.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;playstation4.sony.akadns.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;theia.dl.playstation.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;tmdb.np.dl.playstation.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;gs-sec.ww.np.dl.playstation.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.cdn.ubi.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;assets1.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;assets2.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;xbox-mbr.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;assets1.xboxlive.com.nsatc.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;xvcf1.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;xvcf2.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;d1.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
