"header-authzone;fqdn*;zone_format*;allow_active_dir;allow_query;allow_transfer;allow_update;allow_update_forwarding;comment;create_underscore_zones;ddns_force_creation_timestamp_update;ddns_principal_group;ddns_principal_tracking;ddns_restrict_patterns;ddns_restrict_patterns_list;ddns_restrict_protected;ddns_restrict_secure;ddns_restrict_static;disable_forwarding;disabled;enable_fixed_rrset_order;external_primaries;external_secondaries;grid_primaries;grid_secondaries;is_multimaster;notify_delay;ns_group;prefix;_new_prefix;soa_default_ttl;soa_email;soa_expire;soa_mnames;soa_negative_ttl;soa_refresh;soa_retry;soa_serial_number;update_forwarding;view;zone_type"
"authzone;microsoft.com.edgesuite.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;amupdatedl.microsoft.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;amupdatedl2.microsoft.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;amupdatedl3.microsoft.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;amupdatedl4.microsoft.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;amupdatedl5.microsoft.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;cdn1.epicgames.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;cdn.unrealengine.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;cdn1.unrealengine.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;cdn2.unrealengine.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
